UUID,PlayStation 5,PlayStation 4,PlayStation 3,Xbox Series X/S,Xbox One,Xbox 360,Nintendo Switch,Nintendo WiiU,Nintendo Wii,Nintendo DS,PC,Mobile
5e851508-e24d-4f63-1f2177cac7fe,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
da159d1e-3afc-4734-2b506cf667c7,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
35eb7ebe-e38a-4366-0f0caa3e7117,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
3184ad96-8cc5-4486-802b57d72a41,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
5b836436-ff4a-4f77-4a53a6bacac1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
34fb1003-a35b-4e6a-ca1998285a24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
7af7f1d0-3c89-4f6b-be2ba41f197a,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
b378f410-8b1b-4cd4-69d2f199672b,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
cf700556-8a8c-4a8c-5625309fc241,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
c9c8a27b-8794-4bc1-f6f29ad36b24,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
4eedd3fe-34a1-47d0-56b78e3f598b,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
d6aecf82-6e3d-4609-7a8497f5750d,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
0076ca01-0a84-46bf-29895aa9dddc,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
fc2a1520-1d18-47e1-cb374f21a136,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
0dcb8985-d6d5-4e31-e6147c7f60f2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
